,Title,Author,Year
35,Computer-aided diagnosis of lung cancer in computed tomography scans: A review,"
Paulraj, T., Chellliah, K.S.V.
",2018
36,A comprehensive survey on imaging and detection techniques for diagnosis of brain tumor,"
Srinivasan, K., Nanditha, N.M.
",2018
37,Revolution in genotyping platforms for crop improvement,"
Scheben, A., Batley, J., Edwards, D.
",2018
38,Wireless sensor networks security issues and challenges: A survey,"
Vikhyath, K.B., Brahmanand, S.H.
",2018
39,Artificial intelligence in clinical medicine: Application and thinking,"
Yu, G.-Z., Liu, X.-Y., Zhang, Y.-C., (...), Tian, J.-H., Zhu, M.-H.
",2018
40,Detection of protruding lesion in wireless capsule endoscopy videos of small intestine,"
Wang, C., Luo, Z., Liu, X., Bai, J., Liao, G.
",2018
41,Controversy over the use of proton therapy for the treatment of tumors of central nervous system | [Kontroverze protonové terapie u nádorů centrálního nervového systému],"
Petera, J.
",2018
42,Use of genetic and chemical synthetic lethality as probes of complexity in bacterial cell systems,"
Klobucar, K., Brown, E.D.
",2018
43,The urologist of the future and new technologies | [El urólogo del futuro y las nuevas tecnologías],"
Peinado, F., Fernández, A., Teba, F., Celada, G., Acosta, M.A.
",2018
44,Design and analysis of MEMS based capacitive pressure sensor for the detection of colon cancer,"
Shameem, S., Prasad, G.R.K., Kalyan, G., Sri varun, H., Babu, P.S.S.
",2018
45,DIMM-SC: A Dirichlet mixture model for clustering droplet-based single cell transcriptomic data,"
Sun, Z., Wang, T., Deng, K., (...), Hu, M., Chen, W.
",2018
46,Genome sequencing and assembly by long reads in plants,"
Li, C., Lin, F., An, D., Wang, W., Huang, R.
",2018
47,Efficient gene editing via non-viral delivery of CRISPR–Cas9 system using polymeric and hybrid microcarriers,"
Timin, A.S., Muslimov, A.R., Lepik, K.V., (...), Fehse, B., Sukhorukov, G.B.
",2018
48,Increasing the efficiency of CRISPR-Cas9-VQR precise genome editing in rice,"
Hu, X., Meng, X., Liu, Q., Li, J., Wang, K.
",2018
49,Promise and peril in nanomedicine: the challenges and needs for integrated systems biology approaches to define health risk,"
Halappanavar, S., Vogel, U., Wallin, H., Yauk, C.L.
",2018
