,age,reviews
10,7,-Ant man is just a great movie and is quite family friendly
11,7,"-Family friendly, unless you consider people getting punched by a practically invisible shrunken ant man violent or bad. This movie is so good and I recommend it. It is no worse than guardians of the galaxy, and it is similar to oceans 11. It does have bad words, but I think that is the worst part about this movie. I watched it once one night, and it was so good, I watched the sequel and it a 2nd time the next morning."
12,7,-I think it's a really good movie for ages eight and up it's really funny it's definitely a movie I'll watch again
13,7,"-Ant-Man is a great film. It’s a pretty different Marvel film, with a man who can turn into the size of an ant. It has many cool special effects, especially when Scott turns small, and has enough charm and action to appeal to many Marvel fans. The film also has a good and funny cast, like Paul Rudd, Michael Peña and Michael Douglas. "
14,7,-A funny one. With strong swearing and violent
15,7,-It is ok but it is not at the same time for 8or7
16,8,"-I did not like it that much. I have to mention that there is a kissing scene, I have watch the movie when it was released, but I remember this scene lasted like a minute of two."
17,8,-Aquaman (2018)
18,8,-Ugh I hated this movie. Just bad.
19,8,-it is only slightly violent and it has very harmless swear words.
20,8,-I found this movie quite good. There was quite a bit of violence especially when aqua man stabs the guy at the start. Maybe watch the movie with your kids because it is very good and has good message s and story line.
21,8,-A Must watch for everyone.  It becomes clear that Jason Momoa is the perfect actor for Aquaman. He's absolutely hilarious and I especially noticed the way that how the actor adapts to the various scene's environment. Really enjoyed the movie. Suitable for all ages..
22,8,"-Dont mind that guy this movie is good better than the avengers movie  aquaman is a hero what do you expect?  For it to be 1+  because i watched this movie before and the trideint its so cool i almost forgot this movie because i like watched this movie like 2 years ago but nevermid that i wish i could give this movie 1,2000,50000,99999  Stars and black manta he is that guy in the ship and  i dont know how he is in that suit but this movie is just so cool!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
23,8,-doesn't really have anything bad in them just a little bit of violence. Sorta a cheesy movie though
24,8,-At the beginning of the movie violence someone dies when black manga fights aquaman.Aquaman gets very badly injured in a scary way that will scare young people and that’s the only scene with blood and in the scene there’s a lot of destruction. Finally when Aquaman and Aquaman’s wife get attack by creepy/scary monsters the first couple monsters get killed by getting stabbed then more monsters come and. That will scare young viewers. Also there’s way to much swearing for a superhero movie.
25,8,-all dc movies are very mediocre but this is one is almost at marvel qaulity!!!!!
26,8,"-Aquaman was a pretty good movie. I had a lot of fun with it and I was rarely bored. Many fans of the DCEU will appreciate and be fond of this entertaining, charming and witty undersea adventure. Most tweens will be relatively fine watching this movie. They may get a bit scared at some of the more disturbing scenes, but the movie is pretty okay for them."
27,8,-very good movie but a bit violent. kids might find Black Manta creepy.
28,8,-I love how light hearted and fun some DCEU films have been because it being dark and grim most of the time isn’t the greatest. The CGI is kind of wonky at times but it works for me. The action was fun and exciting. The plot isn’t the greatest and sometimes the movie drags a lot more then I thought. While it is entertaining you’ll probably be glancing at your watch every now and then. The acting from Mamoa himself is definitely fantastic and he brings Aquaman man to life and making me look forward to the future of the DCEU. I would give Aquaman a 80/100
29,8,"-I watched this as a pre-kid and I watched it alot of times. Yes, there may be some innuendo or violence but it is all payed off/worth it. I remember this movie and WATCHED IT AGAIN because, why not? "
30,7,-It's a fabulous and funny holiday movie about the Christmas spirit.
31,7,-We liked it so much it’s going into the xmas rotation.
32,7,"-It was really funny when it turned into a steam  train 🚂 . It was weird when the old man was walking , it would take him an hour to get to the control room! 😆 it was only scary when they thought Santa was gonna be gone forever and they pressed a button and the santa made out of ice fell from the top of the control room . It was weird when Arthur Christmas took out the the Christmas game and everyone was arguing over the santa, which was funny ."
33,7,"-The elves are treated very poorly in this film. I don't know the elves name but her head was wrapped in gift wrap and GrandSanta only allowed he to breath once. They also threaten elves and treat them like objects. I couldn't get over the way they were treated. Also,  I read a review that quoted a character saying ""If we taught women to read, we can do this"" but I just wanted to point out that they actually said ""we used to think teaching women to read was impossible"". I just wanted to state that. But the film is still a bit offensive in my opinion as they don't shine a lot of spot light of female characters or on characters of colour. If someone who believes in Santa watches this, it might distort their image of Santa Claus. In this film Santa decides not to help get a kid their gift. (a kid accidentally didn't receive their gift) and Arthur had to do it instead. I know that the movie has a good meaning but it was too predictable and mediocre. I don't suggest that you watch this film."
34,7,-This is a fine movie. My mum and dad explained it is just a film and that is not really how Santa delivers presents.
35,7,-I dont really get some of the parents' reviews because I get the mentions of sexism because the main characters are mainly white men and mrs claus doesnt get mentioned much but she was portrayed as more intelligent than Father Christmas but that was just me probably. Also there is Bryany Shelfly the elf and she seemed to be a strong and not too annoying character. Also some people said that it ruined Christmas for their kids but it made it a lot better for me because I was starting to question if father Christmas is real but this film makes it a lot more believable
36,7,-This movie is totally family fun and cool good movie in all.
37,7,-I love love love Arthur Christmas! It seems to appeal to everyone - adults and kids. My 18 year old cousin loved it just as much as I did! THIS IS A MUST WATCH!!!
38,7,-Just a beautiful story! The Christmas aspect is amazing! I just love this movie! And for the last time this movie is DOES NOT feature anything inappropriate or rude.
39,7,"-There was a little action, but I think 3 year olds would be ok.  Had some funny scenes, and good messages."
40,7,"-I give this an extra star because the mermaid didn't know what a boy was,  meaning everyone is gay :)"
41,7,"-This show is very traumatising for children under the age of 18, it has some really cringe moments and can be very scary at times. and it is has way too much violence because the unicorns horns get ripped off sometimes the fairies wings, this show is cruel to the unicorns."
42,7,"-One of the best movies I’ve ever seen, appropriate for all ages in my opinion."
43,7,-It is very creative. I also think it is magical and funny.  It has some cute creatures in it. It is different than most Barbie movies.
44,6,"-Loved the message, the art style, the writing and most of all, I loved the chemistry between Mariposa and Katiana. I think Willa and Carlos might become something in the future but I mean PLEASE. Katiana showed Mari her favourite place, gave Mari special gifts, they went on adventures. now come on now. I'm gonna ignore that the movie wanted us to believe that (Carlos& Mari) are ' made for eachother'. Plus, near the beginning of the movie, mari even rolled her eyes when zee zee suggested the crush so.... yeah :3 I happy."
45,6,-Mariposa and the fairy princess is a good movie for kids 3 or higher. They set good role models of being nice and that the best way to make a friend is to be a friend!
46,8,-I think this movie was great but too much blood and gore especially when the villain took out the toy makers heart.
47,8,"-Young and old, rich and poor, Batman geeks and normal people, all will be disappointed at this DC Universe film. "
48,8,"-Ok sorry about my earlier review on this movie, it was inaccurate. My mind has changed on several things. This movie is awesome and trying very hard to get several points across (which you'll have to figure out what its saying for yourself). This isn't a kids cartoon, its a teen movie thats a morality tale, ethical, and esoteric in  many ways. I want you to watch this, but only if you'll understand it."
49,8,-I think that this movie is super violent there is a scene where a kid is getting punched by his dad and there is cruelty to animals when bruce wayne young shoots an arrow at an owl and kills it.  And a guy gets his heart ripped out.
50,8,-My rating R for: strong shocking/disturbing violence.
51,8,-it is michael keaton at his best.
52,8,"-It's a reasonably good film, though having seen Burton''s other work, I don't personally hold it in as high esteem as say, ""Corpse Bride,"" or ""Edward Scissorhands."" "
53,8,"-beetlejuice walks into a strip club. He walks in from the outside, so we dont see inside the club at all.  says a f-word. some skeletons, not scary"
54,8,"-The only thing that got to me is beetlejuice saying ""Nice ****ing model"" and s**t but I say Don't show this to kids, they will get foul mouthed."
55,8,"-This is one of the weirdest, Winnie-The-Pooh-Ride-at-Disney-World-like, Burton-ist movies I have ever seen. I enjoyed the comedic presence of Beetleguse, and wish he was in it for more of the movie, and I thought all of the main actors were great. The story is just so weird I can't seem to love it..."
56,8,"-I think this is a great movie. But it is still best for older kids. Beetlejuice has a creepy look that can easily scare younger kids. Infrequent use of mild to moderate language (except for 2 uses of ""f--k"") includes the H word and one use of ""s--t."" Because of the F and S words, I think it should've gotten a PG-13 rating since it was released late enough. But this is a really funny movie that I would recommend for Tim Burton and Halloween fans 11 and up."
57,8,-I watched this when I was around 6 so I didn't really understand what was going on but I do highly remember the fact that a ghost has a slit through someone has slit wrists and the rip their faces clean off. This isn't scary but if you have an easy to break stomach do not watch this.
58,8,-Has some swearing including the F-bomb and others. Not that scary in violence but some gore. Also a lot of smoking and drinking and some drugs.
59,8,"-I wasn't allowed to watch this movie until last year! I don't know what version this is, but the version I watched was a 15! "
60,8,"-An epic family comedy for all to enjoy! It's a fun movie with a hint of creepieness. And though there isn't much swearing, when there is it is pretty bad and there is a scene where they find a ghost hung in a closet and it deffinently made me jump! There are lots of people that have been graphically injured in some way but the way they look is only laughable. There is nothing that tweens can't laugh at and I think the official 15 rating makes no sense and I think that a 12 A or PG 13 (for you Americans) rating would make much more sense. Over all it's a great family movie for all to enjoy!"
61,5,"-I remember watching this when i was younger, and I really liked it (mainly for its music), though the scene where the kidnappers ""kill"" Benji's love interest is kinda violent for a G-rated movie."
62,5,"-We watched this movie @ school, and it was good ,,,UNTIL the girlfriend dog gets kicked. We did not get to watch the end, so everybody thought the girlfriend dog died.  Over all it was very cute. :)"
63,5,"-My 5 year old is pretty sensitive kid, and we were caught off-guard when there was a real gun firing, when the children were kidnapped (and gagged), and when Benji's little sweetheart dog was kicked by a grown-up.  Of course, my memories of it as a child were pretty benign, but found it jolting to watch it with my little one.  We're still stuck on Sound of Music and Singin' in the Rain..."
64,6,-Great animated comedy is fun for the family!
65,6,"-I was 6 when I saw this, and I was a die-hard Elsa fangirl who wanted to see this movie because the trailer mentioned Frozen."
66,6,"-I think Big Hero 6 is a good movie and it is ok for a 4 year old. It teaches about science and robotics. This movie is one of my favorite Disney movies, and I recommend it for the whole family to watch."
67,6,"-Big Hero 6 is a great family movie, packed with the right amount of intensity and funniness. Having an amazing story line and characters, but also containing some rather violent scenes. The ""Bad guy"" betrays the main characters (Hero, and his friends) after his daughter to what seems gets lost in time.  When at first being friendly character, then later on in the movie, at surprise scene, his identity gets revealed after his mask comes off. These scenes/content possibly being a little intense for younger viewers. The main characters also getting beaten up quite frequently in those scenes, (not showing any blood or struggle pain scenes). Also the main characters older brother dying early on in a fire, which could be hard on younger viewers as well. One PART TO DEFINITELY WATCH OUT FOR, is when ""spoiler FYI"" Bay max (technically) sacrifices himself to save Hero and another character. This always tends to be quite sad, even if you have watched the movie before. I was about 8 years old when I first watched this movie, and was extremely sad  when scene occurred. (Just saying) I assume for most kids it would be sad in the moment, then breeze by after, but if your child takes things deeper. I would recommend watching the scene first before showing your child, or bring some tissues. Overall being a fantastic movie, almost guaranty you will enjoy this one no matter the age.  Highly recommend this one."
68,6,-Although Hiro’s brother dies the rest of the movie is awesome I showed this to my 2 and 3 year old cousins and they loved it so much that they begged my aunty to watch it the next morning great family movie great  for kids of all ages.
69,6,-This movie is really good. Like really good. Stop what you are doing and WATCH IT!
70,6,-Funny educational great messages and role models no swearing may scare younger kids intense  violence
71,6,-This is the second best kids action the ending is sad then becomes happy hope they make a second one
72,6,-this movie is so good but a little sad but cool :)
73,8,"-Great movie, has strong language. A touching film  that clearly displays the life of an eleven year old boy fighting for his dreams, amidst all the chaos of an 1980’s miners strike. The film defies gender stereotypes and gives a message to kids and teens to just do what you love and don’t let anyone, the conditions you’re in or the amount of money you have, stop you."
74,8,"-Fair about of f-bombs, but I think It's well worth it for the story"
75,8,"-Billy elliot is bad. The language is not that bad with about 30 f-words.  The violence is mild but a brief sight of blood could set sensitive people off. Some heated arguments. I actually thought there was a lot more sexual content than everyone said. I girl asks a boy if he wants to see her ""fanny"" (vagina) and they start kissing sensually."
76,8,"-This is an amazing film with positive messages about sexuality, homophobia, and a lot of other things. I watched it with my paretspand my 10-year-old brother. The scene with Debbie and Billy in the bedroom was pretty awkward! There's a lot of bad language in the film (f--k, s--t, c--t I think, fanny), but kids swear more than adults anyway, it's not going to change anything. I'm reviewing the full 15+ version, not the PG one."
77,8,-This movie was amazing to see. Beware of strong language however. This movie is about a young boy who wants to do ballet however his father is not ok with it. A very emotional movie.
78,8,-To much inappropriate comments and swearing
79,8,-There is a lot of swearing but overall a great movie!
80,8,"-Do not let your children watch this, it is inappropriate! And very stupid"
81,8,"-I thought this was a really great movie! An awesome roll model for kids growing up into teens. It also showed me that to never give up, and try your hardest for the things you believe in, or want.  But there was a lot of swearing and a bit of violence, so maybe not the best for younger or immature kids, but overall it was an entertaining and often times hilarious movie that you or/and your kids will LOVE!"
82,8,"-My rating:R for pervasive language, some racy content."
83,8,"-Went to the movies theater when it came out AMAZING MOVIE was my favorite movies till spider-man into the spider verse came out(check out my review on that) Mild violence, one middle finger, not recommended for small children great movie though"
84,8,"-This is possibly the best Marvel movie so far. The action is awesome, the story is great, and the characters are interesting and diverse. Some of the violence may be too much for younger kids. There are a lot of shootings and deaths. Michael B. Jordan’s character is cruel and disturbing at times. 12 and up."
85,8,-i realy like this movie you should let your kids watch this movie
86,8,"-This was not my favorite, but it's ok. There is some swearing, but not much. It has a great storyboard and I think it is fine for a mature eight year old."
87,8,"-THIS IS INCREDIBLE! This movie is my perfect marvel movie. I love everything! I love how this movie has so much emotion, and is so powerful, it will really tugs at the heartstrings. It has a perfect balance of action, emotion, plot, everything in between. Most marvel movies have men characters, but this movie has awesome women warrior characters, my favorites are Shuri, Okoye, Nakia, and let me just say Everyone. This is my all time favorite Marvel Movie! Watch it!"
88,8,"-Message a teamwork and loyalty. The first black hero and a message on never giving up.Fighting,explosions and even A death happen in the movie.S--t,and Hell are said infrequently .No Real sex in this movie. It's Part of the marvel cinematic universe.Some Drinking in one scene"
89,8,-Great film. Favorite Marvel film so far.
90,8,"-This movie is one of the best I have ever watched in my life but it did use consumerism, violence, and swearing. Though it had these, it conveyed great messages and inspired us to support everyone no matter their background. It did not use sex or drug/drinking/smoking, but I would still recommend watching it with a parent or a group of friends. But if you are  8+ and understand certain words are bad, then I think you could still watch it."
91,8,"-This is a really good movies for families! There are a couple violent scenes, and SPOILER the guy who tries to take over Wakanda is a little creepy with the knife-scar-thing on his upper body..... but a good movie for celebrating black families! Another thing, a VERY good movie to watch right now, especially with COVID and the BLACK LIVES MATTER thing. Great family movie, definitly would watch again and probaly will."
92,6,-TOO MUCH VIOLENCE  FOR KIDS!!!
93,6,-this is a good movie I recommend this
94,6,-I thought that this movie was good but kids under 13 might have a hard time following it /understanding it. Also the violence was really intense. But I thought that it had good messages and role models.
95,6,-It has swearing and Blood and the religion might be confusing for Kids
96,6,-i think this movie is great its just kinda violent thats all
97,6,-This movie will be good to take an 10 year old out to see a movie but mild language is my concern.
98,6,-This movie gives info about the strength of black people everybody knows that black panther represents the strength of black people and it just says damn hell sh-t and other BUT its great. At the end of the movie t-challa and nakia kiss. but its not to sexual. and the movie puts out great messages
99,6,"-well, there is quite a lot of violence (characters get stabbed multiple times, murder as punishment, etc) remind your kid or teen that this is just acting and special effects. Also, there is some positivity in it. It has a message that no matter what race you are, you can still do many great things. but one part I didn't like was that two characters kiss at the end..blah.. There is a minimal amount of swearing. I grew up around swear words and such, so if you don't want your kid/teen hearing that, I recommend not watching this with you're kid/teen. I hope this review helped you in some way"
100,8,"-I've seen marvel movies better than this[such as Thor]. Although it is good; it has some violent scene. Rude moments, suggestive and blood is seen. I think this is better than Doctor Strange but this is still a boring MARVEL movie. Kid's should not see this movie by it self."
101,8,"-This movie is awesome, action packed and gets you on the edge of your seat. Quite violent though."
102,8,"-Black Panther is a beautiful movie with an excellent storyline and positive role models. It really values the importance of culture and diversity, and supports equality for all females and males. "
103,8,-it is very good and full of action
104,8,-This is a great movie! There is a lot of violence. But there is no blood. There is lots of positive messages too.  I think this is appropriate for tweens.
105,8,"-Amazing film with fun, drama, and superhero action."
106,8,"-Fine movie. Watched like a million times. Knowing marvel movie's this one's on the more graphic violent side but its not the worst. There are several scenes of bloody punching and stabbing, and one seen of aman laying on the ground and is shot. Nothing sexual."
107,8,"-It was a great movie that includes action, adventure and story. A good movie about culture.May be intense for younger children."
108,7,-I watched this when I  was 12. My parents are strong believers in not sugar coating things and this is one of my dad’s favourite ever films. I also love this film and rally recommend it. It does have the n-word in it so I recommend talking to your kids about why they should never ever say this work before watching the film. There are some sexual bits and you will have to be prepared to answer awkward questions that your kids may ask. In conclusion I think this is a great film and it is a great spoof western.
109,7,"-Blazing Saddles is a 1974 comedy directed by Mel Brooks and starring Cleavon Little, Gene Wilder, Madeline Kahn, Harvey Korman, Dom Deluise, and Mel Brooks."
110,7,"-I saw this first when I was in 6th grade, and even then I got the satire and loved the movie. Yes it has the n-word and has offensive jokes- But that's the point. It's not glorifying racism, it's making fun of the people who actually hold those beliefs, like It's Always Sunny In Philadelphia's humor does. Yes there are some jokes that haven't aged well, like the gay jokes, but the amount of still-hilarious jokes override that number so much, it's still a really enjoyable film and a great satire. And if it counts for anything, Mel Brooks asked the black star Cleavon Little about the frequent  use of the n-word, and he gave it the OK. If people are complaining that it's racist and offensive, they just don't see or get the satire, and the fact that it's making fun of bigots and making them laughable to take away their power, like how Mel Brooks does with Hitler and nazis in The Producers, and other hateful groups in so many of his movies. There is sexual jokes and implications and a scantily clad woman. There is swearing, as well as some brief, light violence. Definitely give it a watch"
111,7,"-Fish out of water flick attempts to satirize racism, but doesn't hold up during the 21st century. There are a few Mel Brooks-style chuckles, including the magical finale. Critics are blinded my nostalgia to see the overratedness within."
112,7,"-I watched this movie when I  was 13 and I found it HILARIOUS! I watch many crude comedies (mostly R rated comedy movies) and I thought this was pretty clean for being R. Some racial stuff, language, but no nudity."
113,7,"-There's lots of innappropriate humor in here. A priest makes a reference to: cattle r-ped. Many uses of the n word, as this is based on the 1800s. Lots of language, such as a rape joke. ""The women?"" ""We'll rape the sh-t out of them at the party!"" Many sexual jokes and innuendos throughout the movie, lots of cleavage. One character is gay (or at least the others think he is). Otherwise, very funny movie, but pay attention to the r rating."
114,7,"-This movie is hilarious, but very inappropriate and has a lot of foul language. They say s--t and the ""N"" word, but a good movie. The actors were perfect for their roles, and all contributed to the hilarity of the movie."
115,7,"-The American Film Institute didn't vote this the 6th funniest American film of all time for nothing. This Western spoof makes fun of practically all there is to make fun of: race, sex, religion, cultural stereotypes, collective thought and, most of all, modern society, and is crammed with totally inappropriate jokes concerning these topics. Above all the underlying social satire, Blazing Saddles is essentially the story of a greedy state official who plans to uproot an entire town to make way for his new railway. The desperate townspeople appeal to the state governor for a new sheriff, and are glad when they are sent one - only to be unspeakably shocked when they realise the new sheriff is black. Overall, the film is a sly satire on popular culture with tons of over-the-top slapstick, but may be over some kids' heads, especially as the last 10 minutes does away with any notion of conventional storytelling."
116,7,"-I LOVE this movie! It's my favorite Mel Brooks film, my favorite comedy, and probably my favorite movie in general. I especially appreciate the film's anti-racism message. I definitely recommend it to any Mel Brooks fan."
117,7,"-Not as funny as ""Spaceballs"" for kids in my age range but I still loved it. Has some drinking and a little bit of drug use, as well as a lot of racism but it shows how stupid people are when they hate other people that are different than themselves. Very good film!"
118,8,"-Super-dog adventure is fun, and age-appropriate for kids."
119,8,"-This movie shouldn't be watched by any kid under 6 for the violent scene at the end with Penny and Bolt. That one scene influenced the whole movie to be PG for me. If your under-six-year-old kid loves action or suspence, then this is the movie for them. If not, don't hesitate to ignore."
120,8,"-Explosions galore in funny, witty actioner."
121,8,"-I thought this film was awesome when it first came out. Since I was a kid who loved dogs and superheroes, it was basically everything I could ask for. Now that I'm older, I don't like it quite as much as I used to. The violence is alright for kids, there is no swearing, and basically zero sexuality. It's also got heart, humor, and engaging action. It's certainly something entertaining for the young'uns. (continue for more detail)"
122,8,-This is a really good movie with lots of fun action. the main scary type bit is towards the end with the treat of the fire.
123,8,"-It's kinda a baby movie, but otherwise it's fine."
124,8,"-BOLT is full of good jokes, and lots of fast action! I especially loved the hamster in his clear ball running around and being brave and silly!"
125,8,-it is a bit scary.
126,8,-I don't love this movie. It is kind of bland for a family movie. Pick something else.
127,8,-Great movie I think. Will be nice if it was less violent.
128,7,-I think this movie was okay.I also think that it should be for 7+ because there were some sad parts like when there was a war between the people who wanted to protect the environment and people who wanted to take down the environment and replace it with houses and big companies.
129,8,"-An interesting movie with an empowering message. It's a grate story but it might be a bit too violent for younger children. The reason I rated it 11+ is not because it had too much violence in it, but because it have a very complex meaning hidden in it. It was even complex for me! If you really want to enjoy it you have to understand it. Overall a great story with a great message."
130,8,"-This movie is a really good one to skip, especially for sensitive kids."
131,8,"-I've seen Frozen 2 and Wreck it Ralph Breaks the Internet, both pale in comparison to the awfulness of this movie."
132,8,"-i love this movie. such great role models, music and animations. It also embodies the importance of family relationships. great movie!"
133,8,"-I would almost put this under a mild horror movie label, and a family film at the same time. I guess it just depends on how tough your kids are with animated violence and creepiness since there are scenes I felt were a bit much for younger kids. (SPOILER ALERT) For example, when Merida's mother turns into a bear, and when she wasn't acting like her human self at times. The witch, her magic, and her cottage was also creepy. Another bear - who looked rotted and beaten - from an ancient story was also shown trying to kill Merida and her family. It really depends on what kind of kid you have, I guess."
134,8,"-I finished this movie tonight, and it rules! My mom said she’d watch this movie over again! I used to be scared but now I’m not. I took a quiz on ohmy.disney.com and apparently I’m a cross of Merida and Belle!"
135,8,"-Great movie. There’s a great message. But there’s some mild violence and scariness. There is no bloodshed or guns, but it is definitely scary for kids under the age of 7."
136,8,"-This film was traumatic for 4 year old me. Children at that age aren't really able to comprehend what's happening and just see people turning into bears and trying to kill each other. However, when watched at the right age, it's a great film with a good role model and comedic at times."
137,8,-scary a little. good movie. very sad.
138,8,-This movie is not good
139,8,-Not pixar's best. Pretty scary movie as well.
140,8,-It has a great plot!!!! The characters are awesome and I LOVE how it takes place in Scotland!!! They use traditional Scottish music in in the movie and I absolutely LOVE their accents!!!!!! You should watch this movie!!! I shows the traditions of Scotland too!!!!
141,8,"-It is a good movie, but it is too scary for younger kids."
142,8,"-i really like the movie brave and there are some parts that are scary and the tiniest bit inappropriate. the main character, Merida and her mother go on an adventure to turn mom back into a human instead of a..."
143,8,"-This movie was much better than many people thought it was, in my opinion.  It was one of the first movies I saw at the movie theater, and I enjoyed it a whole lot."
144,8,-i love this
145,8,-This shows that even girls can be strong. This is about family and is a MUST for family movie nights.
146,8,"-Because this movie is produced by Pixar, it's a lot better than any Disney Princess movie. The main character is strong and independent, and an awesome role model. Unlike Disney movies, there is no romance crap in the film. Plot is exciting and action filled, the musical score is beautiful, and overall great movie."
147,8,"-My rating:PG-13 for intense sequences of fantasy violence, and disturbing sequences of action."
148,7,-Come on my 7 year old sister loved it she watched every Harry Potter too now she is 8. It is not scary I was laughing.
149,7,-Good movie. There is some violence with Merida's mom turning into a bear. Also a big demon bear is the scariest part. It comes and attacks the characters in three scenes. Positive messages: Follow your heart and don't let others control you. Educational with learning about Scotland life in medieval times.
150,7,-Has mild scary scenes and a bear attack but in all has a good message about family.
151,7,"-Hello! This is my review on Brave. I will be telling the story, also if I liked it or not. Hope this helps!"
152,7,"-Produced by Pixar and released by Walt Disney Pictures, Brave is a story about a mother-daughter relationship. I have to admit that when we watched it in the cinema, it was a little scary and there were some violence and some inappropriate content for young children (therefore I think it is suitable for children ages at least 8 & above), but other than that, it is a good movie with a strong and positive moral."
153,7,-I was nine years old when I saw this movie with my parents in the threatens in 3d and I almost had nightmares literally the scary bear action gave me the heebie newbies and I was scared of elinors bear transformation. And I even almost cried at the end of the movie overall it was good but it would scare some kids. Note not for little children.
154,7,"-This is a very action packed Pixar film. I love the graphics, the animation, and just everything."
155,7,-Lots of violence and inappropriate scenes. Also I found that the movie gets a little boring near the end.
156,7,"-i haven't seen it, and don't want to, since a lot of pixar fans said it wasn't  all that good"
157,7,-I am 7 years old and I love this movie.  But it was a little scary because of the scary bear.  But over all I liked it a lot.
158,3,"-anyone who is saying this is a bad movie and not for kids is DEAD WRONG. My brother is 6 YEARS OLD and he absolutely adored it!!! it not only shows very good graphics and was well put together, but it ALSO shows that nothing should get in the way of friendship. there was absolutely NO ""extreme violence"", NO cars being ""Tortured"", NO ""glorifying guns"" and NO UPFRONT DEATH! sure it implies in the beginning that they found an agent and squashed him and yes HE ""died"" if that's what even happens to cars, but no one under the age of 7 could possibly understand what happened in that scene! Honestly from seeing the commercials i thought it'd be a horrible movie but it was great! I was surprised! there's nothing that could be considered real violence unless you count missiles that are poorly aimed and simply shake them in the opposite direction violence. i don't understand what people are saying about it being not for kids. i mean, sure theirs some adult humor but children don't understand it and its for the purpose of making the movie fun for EVERYONE! Come on, sure, it has some intense scenes but unless you parents TELL your 4-7 year old ""Oh, their about to die, that thing's gonna crush them. Oh look, they lied. Oh look, he did something stupid."" then they aren't gonna say a THING. in fact, they just might like it! so parents, don't influence your child's view on movies just because you think its ""inappropriate."" let them make up their minds. I'm here to tell you just because a person writes a long review doesn't mean that that's what you're going to think of the movie- see for yourself."
159,3,"-Cars 2 does deserve a PG rating based on the violence, but I have no clue what made all the other reviewers deside that kids should not see this movie.  Even though there is a scene of what I consider ""torture"" to a car and cars' motors being overheated, that does not make a movie horrible, it makes it innappropriate.  Cars 2, in my opinion, was an excellent film and I reccomend it to families but be prepared for some violence.  I will agree that it does seem like a tamed James Bond movie but overall a hilarious, great Pixar film."
160,3,-Great for 7-10 year olds who want to see movies with violence.
